行政 后勤 	 好 	 昌平 - 全国 可 分配 3000 - 6000
物业管理 保安 	 新华联 药业 公司 招聘 保安 	 大兴 - 黄村 - 天宫 院 新华联 药业 公司 3001 - 5000 元
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 海淀 - 就近 分配 8001 - 10000
公司 注册 	 北京 公司 注册 	 大兴 - 荣华 南路 19 号 100 元
运输 物流 仓管 	 名企 月入 8 	 房山 8001 - 10000 元
运输 物流 仓管 	 长期 稳定 月 8 千 	 房山 8001 - 10000 元
物业管理 保安 	 急招 学校 保安 	 西城 宣武 - 金融街 - 西城 金融街 5001 - 8000 元
行政 后勤 	 北京 好 	 延庆 - 按照 意向 就近 分配 5 - 8 以上
运输 物流 仓管 	 北京 业务 助理 专员 跟单员 	 朝阳 - 就近 分配 20000 元 以上
行政 后勤 	 做二休 三七 险一金 好 	 通州 - 根据 个人 户籍 就近 分配 8001 - 10000
行政 后勤 	 北京 好 	 房山 - 按照 意向 就近 分配 5 - 8 以上
行政 后勤 	 好 	 昌平 - 全国 可 分配 3000 - 6000
行政 后勤 	 好 	 昌平 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 北京 好 	 石景山 - 按照 意向 就近 分配 5 - 8 以上
出国 劳务 	 北京 国外 劳务 	 朝阳 - 朝阳 周边 - 诚招 代理 20000 元 以上
行政 后勤 	 首选 好 	 门头沟 - 根据 个人 户籍 就近 分配 5001 - 8000
摄影 服务 	 北京 会议 摄像 摄像 北京 淘宝 摄影 	 海淀 - 全 北京 面议
行政 后勤 	 首选 好 	 门头沟 - 根据 个人 户籍 就近 分配 5001 - 8000
行政 后勤 	 美丽 好 	 顺义 5001 - 8000 元 以上
其他 兼职 	 销售 推广 高 提成 	 昌平 - 昌平 周边 - 自由 500 元天
行政 后勤 	 做二休 三七 险一金 好 	 通州 - 根据 个人 户籍 就近 分配 8001 - 10000
摄影 服务 	 北京 淘宝 摄影 	 海淀 - 全 北京 面议
行政 后勤 	 好 	 顺义 - 全国 可 分配 3000 - 6000
运输 物流 仓管 	 北京 长途 跟 车员 月 过 万 	 朝阳 - 就近 分配 20000 元 以上
物业管理 保安 	 通州 巡逻 保安 + 	 通州 - 就近 分配 5001 - 8000
